system:index,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep
3421_0,38,1,99,92,97,1,4,75,18,71,28,5
3422_0,67,9,142,121,134,7,25,114,44,120,67,22
3423_0,47,2,94,90,99,1,3,80,17,67,28,4
3424_0,29,2,65,64,75,1,2,58,8,45,17,5
3425_0,47,12,79,85,102,17,15,75,30,64,33,19
3426_0,14,1,31,36,42,1,1,31,6,17,8,3
3427_0,40,1,94,91,99,1,3,75,15,62,28,4
3428_0,65,2,102,112,120,2,8,105,28,73,34,11
3429_0,30,10,44,34,39,8,22,37,37,41,29,15
3430_0,17,1,32,37,43,1,1,36,6,19,10,3
3431_0,2,12,15,13,14,10,1,7,2,6,7,7
3432_0,33,9,42,31,37,8,22,36,38,40,29,14
3433_0,4,5,11,16,14,4,1,9,3,6,6,5
3434_0,4,14,14,16,15,10,1,11,2,7,8,9
3435_0,69,2,122,115,133,2,8,102,30,96,43,9
3436_0,43,11,94,63,81,9,20,61,34,77,45,15
3437_0,33,11,46,35,40,7,21,40,37,41,29,15
3438_0,25,12,50,62,59,10,2,52,9,33,15,9
3439_0,11,25,22,27,24,18,2,20,4,13,14,14
3440_0,2,10,10,12,11,6,1,7,2,4,6,6
3441_0,41,10,80,61,72,11,21,62,36,69,41,15
3442_0,18,18,45,49,49,15,1,37,7,24,13,12
3443_0,27,11,33,25,29,9,23,29,36,32,25,15
3444_0,4,6,10,16,14,4,1,9,3,7,7,6
3445_0,3,0,22,19,36,0,2,39,2,16,5,9
3446_0,123,14,314,214,274,6,28,220,66,245,120,33
3447_0,123,14,320,217,273,5,29,226,66,250,125,33
3448_0,31,1,90,84,91,1,3,63,13,63,24,5
3449_0,38,3,104,95,106,1,8,72,20,72,31,6
3450_0,51,11,79,88,101,16,13,82,30,63,33,18
3451_0,7,1,40,33,63,16,0,43,6,15,9,2
3452_0,41,4,114,100,111,1,8,81,22,76,32,8
3453_0,3,17,14,15,15,10,1,9,2,6,9,10
3454_0,24,2,60,74,77,2,1,50,6,34,14,5
3455_0,31,9,81,71,86,7,13,61,32,73,37,14
3456_0,34,2,72,75,87,1,2,68,9,51,19,6
3457_0,4,12,12,14,14,8,1,9,2,5,7,8
3458_0,95,9,253,172,218,3,21,174,48,187,94,23
3459_0,40,9,92,69,83,12,21,62,35,78,46,15
3460_0,21,4,102,106,94,0,5,52,24,48,25,4
3461_0,35,7,69,87,86,7,2,66,11,48,17,10
3462_0,20,15,43,36,45,16,12,35,19,30,16,12
3463_0,7,12,18,22,22,10,2,15,3,10,13,8
3464_0,61,1,107,107,123,2,8,99,26,80,37,10
3465_0,70,5,173,147,170,2,9,132,28,121,60,12
3466_0,78,13,208,147,182,6,24,141,49,168,94,25
3467_0,20,2,46,68,68,1,1,46,5,28,12,3
3468_0,29,1,49,50,55,1,1,52,10,30,15,4
3469_0,34,1,59,59,67,2,2,58,14,37,17,4
3470_0,5,11,14,16,15,9,1,10,3,7,7,8
3471_0,18,10,34,38,42,9,5,27,14,27,15,12
3472_0,36,2,91,91,105,1,2,72,10,57,23,3
3473_0,61,3,135,135,157,3,5,116,16,94,35,9
3474_0,89,8,219,152,185,3,21,160,43,158,79,21
3475_0,26,8,33,24,31,9,22,27,38,33,24,13
3476_0,105,10,261,201,238,3,15,199,41,209,94,21
3477_0,46,1,69,74,80,2,3,80,18,47,23,5
3478_0,28,2,65,62,73,1,2,51,10,44,20,3
3479_0,2,10,14,13,13,8,1,6,1,6,7,5
3480_0,41,11,112,77,97,8,19,67,33,89,52,16
3481_0,46,1,70,75,83,1,3,79,18,47,23,5
3482_0,58,6,147,124,139,3,15,108,31,110,48,15
3483_0,18,3,43,56,46,5,1,30,10,18,15,3
3484_0,81,5,234,177,212,1,13,156,37,166,80,17
3485_0,100,8,252,183,221,2,16,185,41,187,84,19
3486_0,7,18,18,21,19,15,1,13,3,9,11,10
3487_0,34,2,107,106,118,1,4,75,14,72,29,4
3488_0,11,8,11,13,13,9,4,11,12,11,10,8
3489_0,56,3,170,137,166,1,7,110,22,108,49,9
3490_0,61,4,193,149,180,1,11,119,29,133,57,12
3491_0,39,2,117,112,128,1,4,80,14,79,33,5
3492_0,3,10,14,13,13,8,0,6,2,6,6,6
3493_0,64,10,129,109,118,7,27,112,50,109,65,24
3494_0,26,11,66,63,76,12,15,52,26,59,31,17
3495_0,7,21,16,21,18,15,1,15,3,8,10,12
3496_0,62,9,177,131,160,5,19,118,38,142,73,18
3497_0,76,2,143,134,153,2,8,129,32,113,51,10
3498_0,31,1,79,76,83,1,2,60,12,50,22,4
3499_0,3,2,27,21,32,3,0,16,1,6,2,5
3500_0,6,4,15,20,20,3,1,14,2,10,5,3
3501_0,10,8,21,25,26,7,2,19,7,16,11,7
3502_0,16,1,30,35,40,1,1,33,5,17,8,3
