system:index,BurnDate,FirstDay,LastDay,QA,Uncertainty,BurnMonth
80862_0,252,176.5,190,3,1,8
80924_0,252,177,189.5,3,1,8
80983_0,184,177.5,188.5,3,5,6
81006_0,282,176,190,3,2,9
81024_0,190,175.5,190,3,3,6
81160_0,284,176,190,3,1,9
81217_0,259,175,189,3,2,8
81221_0,285,176.5,190,3,5,9
81230_0,348,174.5,189,3,3,11
81273_0,171,178.5,186,3,1,5
81349_0,282,175.5,190,3,2,9
81621_0,214,177.5,189.5,3,1,7
81674_0,214,177,189.5,3,2,7
81867_0,284,175.5,190,3,3,9
81868_0,282,176,190,3,2,9
81869_0,200,175.5,190,3,3,6
81954_0,240,177.5,190,3,1,7
82017_0,246,176.5,189.5,3,4,8
82040_0,342,177.5,187,3,7,11
82098_0,211,175,189,3,1,6
82157_0,190,176.5,190,3,4,6
82239_0,194,174.5,189.5,3,4,6
82309_0,214,177,190,3,2,7
82317_0,238,177.5,190,3,2,7
82351_0,252,178.5,190,3,1,8
82386_0,284,176,190,3,2,9
82454_0,341,178.5,187,3,1,11
82521_0,246,177.5,190,3,12,8
82525_0,344,177.5,189,3,6,11
82632_0,352,174.5,190,3,1,11
82993_0,282,175.5,190,3,2,9
83175_0,245,190,236,3,1,8
83220_0,283,176,190,3,4,9
83287_0,232,177.5,190,3,7,7
83380_0,343,177,190,3,4,11
83449_0,341,175,189.5,3,1,11
83507_0,343,174.5,189.5,3,6,11
83606_0,178,175.5,189,3,1,5
83641_0,348,175,189.5,3,5,11
83802_0,280,175,190,3,1,9
83960_0,237,177.5,189.5,3,12,7
83993_0,338,175,190,3,1,11
84270_0,339,175,190,3,2,11
84272_0,245,178,190,3,8,8
84302_0,238,179.5,245,3,13,7
84409_0,245,177,190,3,9,8
84433_0,241,177.5,190,3,20,7
84500_0,339,175,189.5,3,2,11
84687_0,166,175.5,189.5,3,1,5
84800_0,339,175,189.5,3,1,11
84905_0,178,175.5,188.5,3,2,5
84932_0,345,174.5,189,3,3,11
85052_0,214,177.5,189.5,3,1,7
85085_0,199,177,190,3,2,6
85405_0,193,175.5,190,3,2,6
85412_0,345,174.5,189.5,3,5,11
85431_0,332,175.5,190,3,1,10
85443_0,232,177.5,190,3,7,7
85489_0,352,174.5,189.5,3,2,11
85630_0,193,177,189,3,2,6
85706_0,293,176,190,3,4,9
85796_0,242,190,235,3,1,7
85806_0,248,175,190,3,5,8
85919_0,282,175.5,190,3,2,9
85987_0,341,175,190,3,4,11
86128_0,282,177.5,189.5,3,2,9
86141_0,343,176,190,3,5,11
86177_0,341,175,190,3,1,11
86278_0,282,176,190,3,2,9
86434_0,349,174.5,189.5,3,3,11
86577_0,193,175.5,189,3,2,6
86603_0,253,179.5,190,3,1,8
86662_0,250,176.5,220,3,2,8
86674_0,200,176,190,3,2,6
86826_0,339,176,189.5,3,2,11
86999_0,200,175.5,190,3,2,6
87034_0,241,190,227,3,6,7
87160_0,339,176.5,189.5,3,2,11
87298_0,358,175,189.5,3,1,11
87338_0,210,175,189.5,3,1,6
87524_0,340,175,189.5,3,3,11
87596_0,237,174.5,190,3,1,7
87708_0,210,177,188.5,3,3,6
87780_0,191,175.5,189.5,3,3,6
88139_0,193,174.5,189.5,3,1,6
88292_0,274,176,190,3,1,9
88312_0,273,216.5,281.5,3,1,8
88456_0,111,175,190,3,1,3
88557_0,344,174.5,189.5,3,5,11
88590_0,240,177.5,190,3,1,7
88597_0,282,176,190,3,2,9
88874_0,343,175,190,3,4,11
89088_0,285,175.5,190,3,1,9
89271_0,352,174.5,189.5,3,2,11
89458_0,191,174.5,189.5,3,2,6
89573_0,246,190,205,3,6,8
89605_0,243,176,188.5,3,3,7
89623_0,341,176.5,189.5,3,5,11
89786_0,189,175.5,190,3,2,6
89793_0,230,179,190,3,6,7
90162_0,283,176,190,3,4,9
90196_0,193,174.5,189.5,3,2,6
90523_0,200,176,190,3,2,6
90588_0,261,176.5,189,3,3,8
90672_0,350,174.5,190,3,6,11
90790_0,179,185.5,186,3,1,5
90822_0,246,175.5,189,3,1,8
90853_0,341,175,190,3,1,11
90882_0,349,174.5,189.5,3,5,11
90895_0,199,175.5,190,3,2,6
91027_0,199,176,190,3,2,6
91056_0,231,177.5,190,3,8,7
91086_0,247,179,190,3,10,8
91120_0,233,176.5,189.5,3,4,7
91412_0,139,174.5,189.5,3,2,4
91569_0,284,176,190,3,5,9
91633_0,245,175.5,189.5,3,1,8
91715_0,246,175.5,220,3,7,8
91859_0,196,174.5,189.5,3,3,6
91927_0,227,175,190,3,1,7
91936_0,252,177,190,3,1,8
91948_0,198,175.5,190,3,2,6
91965_0,190,176,190,3,3,6
92192_0,284,175.5,190,3,1,9
92234_0,284,175,190,3,4,9
92380_0,235,177,190,3,16,7
92408_0,282,176,190,3,2,9
